size_dec,monthly,annual,t_stat,n_mo
1,0.0060814391871711745,0.07546837289531871,1.5294119748586268,179
2,0.007190086371752405,0.08977617516549863,1.9333305502258724,179
3,0.0017483282179731642,0.021182857942934508,0.3771085806741532,179
4,0.008908610347599913,0.11230001093578323,2.371657247287047,179
5,0.007943684295348277,0.09960122572170915,2.2060801044092337,179
6,0.002391320396798464,0.02907628468696788,0.7191750926102456,179
7,0.00587601615812686,0.07283624354592733,1.8351831793285744,179
8,0.004837223428661926,0.05961617115428286,1.6872301339545972,179
9,0.002406147288446559,0.02925895878173823,0.921122706925196,179
10,-4.215186368156151e-4,-0.0050465133575386956,-0.18667400915990298,179
