factor,rk_asset_growth,rk_rev_growth,rk_fcfp,rk_roa,rk_accruals,rk_capx_ocf,rk_capx_at,rk_capx_sales,rk_opex_sales,rk_cash_conv
rk_asset_growth,1,0.5614035787704009,-0.19468421515785658,0.16605862583329017,0.06022938265515412,0.026092121435840634,0.0194208182176651,0.07458102689578484,-0.06478029468021619,-0.16460867080807498
rk_rev_growth,0.5614035787704009,1,-0.16730985854024968,0.10508008171479677,0.0136812029119706,0.009131178391233917,0.027467244021264364,0.04617549279912371,-0.03255245271161666,-0.12634028799468522
rk_fcfp,-0.19468421515785658,-0.16730985854024968,1,0.24492062573825088,-0.1286849716949041,-0.7085832750820886,-0.33779731115602957,-0.4141657868850045,-0.20991352707705085,0.29536592412166934
rk_roa,0.16605862583329017,0.10508008171479677,0.24492062573825088,0.9999999999999998,0.21953997213393733,-0.16396864214731835,0.19749938705237965,-0.10106771858404373,-0.27190779121731945,-0.4163260154958902
rk_accruals,0.06022938265515412,0.0136812029119706,-0.1286849716949041,0.21953997213393733,0.9999999999999998,-0.04278213352442689,-0.3188996805050868,-0.27066798477225346,-0.08433212557655474,-0.7618614909258284
rk_capx_ocf,0.026092121435840634,0.009131178391233917,-0.7085832750820886,-0.16396864214731835,-0.04278213352442689,1,0.7621523102652994,0.7074704915916786,0.19710897451755885,0.030267873542889918
rk_capx_at,0.0194208182176651,0.027467244021264364,-0.33779731115602957,0.19749938705237965,-0.3188996805050868,0.7621523102652994,0.9999999999999999,0.7382082862441419,0.013880562966851093,0.19171369511255187
rk_capx_sales,0.07458102689578484,0.04617549279912371,-0.4141657868850045,-0.10106771858404373,-0.27066798477225346,0.7074704915916786,0.7382082862441419,1,-0.2659947506984515,0.23025476414425172
rk_opex_sales,-0.06478029468021619,-0.03255245271161666,-0.20991352707705085,-0.27190779121731945,-0.08433212557655474,0.19710897451755885,0.013880562966851093,-0.2659947506984515,1,0.016780279608700925
rk_cash_conv,-0.16460867080807498,-0.12634028799468522,0.29536592412166934,-0.4163260154958902,-0.7618614909258284,0.030267873542889918,0.19171369511255187,0.23025476414425172,0.016780279608700925,0.9999999999999998
