term,coef_raw,t_raw,coef_sec,t_sec
rk_roe,0.039600627521936556,3.3309126229756085,0.03777194557157541,3.420085620265361
rk_divy,-0.02621242971551408,-3.081824461893523,-0.02157480329973591,-2.899638724124149
rk_asset_growth,-0.047348267582146435,-2.969740896367449,-0.040436046859475855,-2.981292077402312
rk_cash_ratio,0.05750690946190979,2.644417957526591,0.0588281107289317,3.2027648287866413
rk_gross_margin,0.04109111292768234,2.3249000299511478,0.03857401474674374,2.6959562639114494
miss_rk_rev_growth,-0.07191077365876315,-2.3001147084362774,-0.07456226015779735,-2.289068114121401
rk_current_ratio,-0.033371318819127756,-2.1899917098241253,-0.03588000391322872,-2.365156688416155
rk_mom_6_1,0.0326274169349319,1.828499745397403,0.028765890564327892,1.6946010605303574
rk_sp,0.07349064845663371,1.7891814328370188,0.09432252189467517,2.3824629012870857
rk_net_margin,0.037555660665853544,1.7765169135963894,0.03428193452240689,1.8704256834700248
rk_fcf_growth,0.009769383934721976,1.603058402345264,0.0073791867217449765,1.4443035585521269
rk_rev_growth,0.01713558545003513,1.404341546470513,0.017579958683212223,1.6908445631438282
miss_rk_asset_growth,0.156987512295408,1.3608390862865511,0.16219824761780371,1.1902674913871703
miss_rk_fcf_growth,-0.006862090062836675,-1.2864053321196802,-0.0036420264569661112,-0.7728151255177245
rk_op_margin,-0.03207731745777508,-1.2171323509013485,-0.02940499670485529,-1.156222231470405
rk_mom_1m,0.014124885842913779,1.2080194435354086,0.011047691579759157,0.9619710525498613
rk_ep,-0.022007132608402844,-1.159211279628669,-0.02298334683395635,-1.483388472721143
miss_rk_fcfp,-0.015793078029916415,-1.1307810697528056,-0.026443988379375956,-1.9485097504005344
miss_rk_eps_growth,-0.0061207407077625954,-1.0572015387876368,-0.0032655380872552483,-0.5221998386009957
rk_roa,-0.02879007745930783,-0.9916390124938654,-0.007733994892031829,-0.32278379249266115
rk_fcfp,0.01168923396229044,0.8879059747076236,0.006073038056293326,0.47722254465160285
miss_rk_mom_12_1,0.06692528462356467,0.8139155921737211,0.05474020099963907,0.709785158780806
rk_leverage,-0.009243458220093839,-0.7376900179615375,2.812702775960358e-4,0.026134555273809933
rk_vol_12m,-0.015353247785433826,-0.7215968301594169,-0.019335756484652633,-1.0252368175129936
rk_eps_growth,-0.006030095969690654,-0.6603939770368561,-0.008610952756972998,-1.118107186519256
miss_rk_cash_ratio,-0.02790964190649722,-0.5655891594428687,-0.03309400334291209,-0.7079182457967865
miss_rk_current_ratio,0.01725613488583196,0.5479124115169204,0.017063613811006483,0.5711716643540523
miss_rk_int_coverage,0.003133691747458521,0.4815447510681396,0.004554033824728721,0.7083040616419526
rk_mom_12_1,0.007886001537348726,0.4324089214329455,0.009380423828280634,0.5604668346873921
rk_log_mktcap,-0.005494225299453642,-0.3312189706428469,-0.0015572322583418425,-0.09791315138667808
rk_turnover,0.006239801865412979,0.3134398245804177,0.0047014888884034075,0.28027620321014907
miss_rk_roe,-0.013850884562615256,-0.24778981559480368,0.008493226947101858,0.15518017129099201
rk_ebitda_ev,0.00496323685376526,0.22535860555390935,0.00717237730149498,0.3793154260965762
rk_int_coverage,0.0026522509183321183,0.2095097042597815,0.0020264638539586937,0.1670528193928986
miss_rk_vol_12m,-0.00170019368991477,-0.08739805567583542,0.003733348417978047,0.20254787614951958
rk_roic,-9.554057083251201e-4,-0.07316739868509056,-1.1474410175142574e-4,-0.009336683235524723
rk_bp,-0.0010840470911937412,-0.06805730608587052,6.585419389280319e-4,0.050586461726339765
miss_rk_roa,-0.005839751593024567,-0.0670891367390414,-0.03896104588611142,-0.47907547489424457
