item,mean_ic,t_stat,hit,n_mo
*** COMPOSITE ***,0.0351173445979532,4.6886609211350265,0.5473684210526316,380
fcfp (+),0.03147219342818974,5.840624491118865,0.6078947368421053,380
ebitda_ev (+),0.029672751495956388,3.9468965589207965,0.5736842105263158,380
ep (+),0.02607048589973427,3.788484150886272,0.5210526315789473,380
sp (+),0.02371154545171909,3.2538265796604766,0.5789473684210527,380
int_coverage (+),0.022018527499728692,4.694103665683019,0.5605263157894737,380
roa (+),0.021769986300079487,4.2154097546889,0.5679347826086957,368
roe (+),0.02043648356413687,4.658130575754802,0.5760869565217391,368
cash_ratio (INVERTED),0.01806169299688111,2.642529492216715,0.5210526315789473,380
current_ratio (INVERTED),0.0178086625837123,2.9320031700010767,0.5342105263157895,380
asset_growth (INVERTED),0.012651748045197706,2.539988819659799,0.5054347826086957,368
bp (+),0.012075706546062622,1.7542696752291,0.5,380
fcf_growth (+),0.010029292719605152,3.7738447807045463,0.592391304347826,368
rev_growth (INVERTED),0.008993869769416721,1.6370791574698962,0.5135869565217391,368
gross_margin (+),0.00551162055990845,1.5460437581851105,0.5184210526315789,380
accruals (INVERTED),0.0013739899691790675,0.3686623221169273,0.5217391304347826,368
