strategy,n_mo,ann_ret,mkt_ret,vol,sharpe,mkt_sharpe,beta,capm_a,capm_t,ff6_a,ff6_t
"50 names, all sizes",374,0.11078397753506297,0.10555966032270758,0.20513101608681794,0.5038539257937045,0.5761703032927483,1.0478085607973928,0.00976603123714516,0.4281424068855015,-0.014181216583714963,-1.1783291394709594
"100 names, all sizes",372,0.11781756119851261,0.10607086194684068,0.19590515950588125,0.550043063080495,0.5784434521668805,1.0179280323196482,0.016277380290490764,0.7699913676433439,-0.00794161952831728,-0.809386133888087
"200 names, all sizes",368,0.12336516542548637,0.10835838475266057,0.19110116859358328,0.5848711425234602,0.5913148722914702,1.0157707192660115,0.01823694934343998,0.9234532620417726,-0.0030804708100446512,-0.3691217447703671
"100 names, 50bp",372,0.10457797740200991,0.10607086194684068,0.19590515950588125,0.4887889336320066,0.5784434521668805,1.0179280323196482,0.004277380290490768,0.20233881871825266,-0.0199416195283173,-2.0323902795821627
"100 names, P60-95",365,0.1220942532851439,0.10886539225180125,0.1806285000514766,0.6028065101284853,0.5937275812915245,0.9720998760830429,0.018752000550286314,1.0358678302679143,-3.5719664051446287e-4,-0.036759934717497916
"100 names, P80-100",364,0.11919422031594684,0.10761032193417464,0.15539820825472642,0.6563594574590305,0.586484898810286,0.863248926658198,0.022881742469744948,1.60356315833091,0.0019144403535856917,0.23836439893598832
