band,n_mo,ann_ret,mkt_ret,vol,sharpe,mkt_sharpe,beta,capm_a,capm_t,ff6_a,ff6_t
P0-20 (micro),175,0.0807701791677371,0.14970197016815345,0.2505550682412604,0.38949913653323065,0.9344837369379819,1.358028843559059,-0.09193086657421436,-2.2835552099484047,-0.023987284415635246,-1.138885790275718
P20-40 (small),175,0.1388870837424021,0.14970197016815345,0.2376759450400831,0.6189447237701011,0.9344837369379819,1.365229329302569,-0.04341845226156262,-1.300337105822076,0.012163706649641667,0.6757712414860284
P40-60 (mid),175,0.10747295961350778,0.14970197016815345,0.22799887706639602,0.5107193348153923,0.9344837369379819,1.3510670844819146,-0.07210685524628592,-2.4879602014751954,-0.02679062238357477,-1.5130964574330639
P60-80 (large),175,0.1318464222960456,0.14970197016815345,0.20912901577642465,0.6440895062858997,0.9344837369379819,1.2733219039492958,-0.04300263471857104,-1.8066949579472547,-0.008094805067308902,-0.46617857563968634
P80-100 (mega),175,0.13619313429760815,0.14970197016815345,0.1790582640691414,0.7391962455855207,0.9344837369379819,1.1218507503915822,-0.024202447838249264,-1.3975202869198613,-0.004978506978263563,-0.32202321054632194
P50-100 (top half),175,0.13692896736870974,0.14970197016815345,0.2151780769695484,0.6499783692629942,0.9344837369379819,1.2889781213903113,-0.04002427169785855,-1.525507832026519,0.001478050990496765,0.07273101897164796
"P60-95 (large, ex-mega)",175,0.1444252498440013,0.14970197016815345,0.20429351562814482,0.7066703879017009,0.9344837369379819,1.2418152191452567,-0.02893529639698876,-1.2351690460679683,0.006580670613290814,0.351994802266365
P70-100,175,0.14218067694372016,0.14970197016815345,0.19584593755381954,0.7188004077679032,0.9344837369379819,1.213603791607536,-0.02859224445608936,-1.4063919641611382,4.8510366749829825e-4,0.02860569162248981
P0-100 (all),175,0.10097902637381284,0.14970197016815345,0.26445786301328345,0.4518395935803049,0.9344837369379819,1.4311667641582262,-0.08023619340540702,-1.8873273515128663,-0.003535984001055623,-0.13821520006144777
