form_date,gross_ret,n_held,med_mktcap,turnover,cost,net_ret,bench_ret,value_gross,value_net,value_bench,peak,drawdown,excess
2010-01-31,0.07976924,25,826.1945,1,0.004,0.07576924,0.043412243475855136,2699.4231,2689.4231,2608.5306086896376,2689.4231,0,0.032356996524144865
2010-02-28,0.04573452000000001,25,1132.41645,0.43999999999999995,0.0017599999999999998,0.04397452000000001,0.07649006213364597,2822.8799197554126,2807.689189899412,2808.0572770258254,2807.689189899412,0,-0.03251554213364596
2010-03-31,0.051562159999999996,25,1228.87674,0.56,0.0022400000000000002,0.04932216,0.04390159274834309,2968.4337058386286,2946.1704853539013,2931.3354640158345,2946.1704853539013,0,0.005420567251656905
2010-04-30,-0.11835608,25,1136.19996,0.36,0.0014399999999999999,-0.11979608,-0.07396321277905797,2617.1015286756956,2593.2308101968065,2714.524475364033,2946.1704853539013,-0.11979607999999997,-0.04583286722094203
2010-05-31,-0.08950280000000001,25,921.15765,0.4,0.0016,-0.09110280000000001,-0.06786420481778825,2382.8636139749406,2356.980222341609,2530.305430385029,2946.1704853539013,-0.19998512168297589,-0.02323859518221176
2010-06-30,0.08222612,25,938.9577599999999,0.31999999999999995,0.0012799999999999997,0.08094612,0.07059855813953489,2578.7972434412777,2547.7686262568996,2708.941345422848,2946.1704853539013,-0.13522702134094078,0.010347561860465107
2010-07-31,-0.0691596,25,1093.26389,0.4,0.0016,-0.0707596,-0.05961146507566938,2400.448657603776,2367.4895373704117,2547.4573830181366,2946.1704853539013,-0.19641801140166437,-0.011148134924330623
2010-08-31,0.13718392000000001,25,1211.18274,0.36,0.0014399999999999999,0.13574392000000002,0.11904531747153017,2729.7516142126,2688.8618477320574,2850.720255924725,2946.1704853539013,-0.08733664222793114,0.016698602528469844
2010-09-30,0.03585072,25,1308.58434,0.36,0.0014399999999999999,0.034410720000000006,0.038575534502923975,2827.615175003284,2781.3875198930477,2960.688313515333,2946.1704853539013,-0.055931238969376684,-0.004164814502923969
2010-10-31,0.0295822,25,1233.468,0.31999999999999995,0.0012799999999999997,0.0283022,0.030271157558139535,2911.262252633266,2860.106905758564,3050.311775934298,2946.1704853539013,-0.029212016080936043,-0.001968957558139535
2010-11-30,0.1670184,25,1025.30358,0.28,0.0011200000000000001,0.1658984,0.07802104057323309,3397.496616048469,3334.594065252861,3288.300274765478,3334.594065252861,0,0.08787735942676692
2010-12-31,-0.0016932400000000036,25,992.256,0.28,0.0011200000000000001,-0.0028132400000000037,0.012080400460299193,3391.743838878311,3325.213051844729,3328.024258918357,3334.594065252861,-0.00281324000000005,-0.014893640460299196
2011-01-31,0.06505056,25,1106.25075,0.56,0.0022400000000000002,0.06281055999999999,0.048415364058760624,3612.378674973895,3534.071545750405,3489.1517650102764,3534.071545750405,0,0.014395195941239364
2011-02-28,0.008683759999999995,25,1679.0340499999998,0.88,0.00352,0.005163759999999995,0.023453718221174955,3643.7477044164866,3552.32064303549,3570.985347337743,3552.32064303549,0,-0.018289958221174962
2011-03-31,0.02649378293604,25,2211.35785,0.72,0.0028799999999999997,0.02361378293604,0.02707618797983741,3740.284365170992,3636.2043716193443,3667.6740178755044,3636.2043716193443,0,-0.003462405043797412
2011-04-30,0.0020742400000000106,25,2140.46014,0.36,0.0014399999999999999,6.342400000000107e-4,-0.013646120215277517,3748.0426126126035,3638.51059788,3617.6244973171256,3638.51059788,0,0.014280360215277527
