model,term,alpha,std.error,alpha_t,p.value
elastic_net,(Intercept),0.031340516653587225,0.021711492876329334,1.4434989262187403,0.15082293458870957
random_forest,(Intercept),0.0605111294572631,0.02083854242262558,2.90380815654183,0.004204452449935951
xgboost,(Intercept),0.06174925023209603,0.0196179046900481,3.14759660665599,0.001961922108117043
