model,gross,t,sharpe,worst
xgb_by_vol,0.06654118584853383,4.348246266829055,0.33547448271594166,-0.5723257890172194
xgb_base,0.06340123632699628,3.7965195687190922,0.2929078438249962,-0.6239256940815611
enet_inter,0.031118366021373828,1.5495875198473195,0.11955327268594548,-0.8427640081484565
enet_base,0.027621164658105393,1.36870491815291,0.10559787699029242,-0.9061438843131411
