strategy,n_mo,ann_ret,mkt_ret,vol,sharpe,mkt_sharpe,beta,capm_a,capm_t,ff6_a,ff6_t,max_dd
"Baseline (100, all)",192,0.1437581197820823,0.07660923902816918,0.17513815930081164,0.658470303180514,0.32671749789458776,0.8479127676572898,0.07133780203106066,2.527139382583829,0.012505530875593678,0.999497099959239,-0.5466562918233484
A. Vol-targeted 12%,192,0.11680226702028618,0.07660923902816918,0.1416779404412544,0.607751153320627,0.32671749789458776,0.6684365334626197,0.05142978652989001,2.1865300310976794,-0.005288838011209395,-0.3096829326415418,-0.5150186076071048
A. Vol-targeted 15%,192,0.12863154004891708,0.07660923902816918,0.16665149877267768,0.6045545187764797,0.32671749789458776,0.8023019475034829,0.059130503117152164,2.194005564432156,-0.005933996442587389,-0.3252831868731549,-0.5761480692539965
B. Low-beta screen,192,0.13854780005046008,0.07660923902816918,0.16758856432699257,0.6534443035808426,0.32671749789458776,0.8100184700997822,0.06749008456833866,2.4957379101357478,0.008169132305900667,0.6634108356701841,-0.5425177078427387
B. P80-100 (large cap),184,0.11460910786154033,0.07830912561998771,0.15448708679037065,0.5568059427878473,0.33438439858808994,0.7821852693421574,0.04398027058723827,1.91220178697791,0.004309449061381279,0.3416076809615571,-0.48987065361203574
C. Combined,185,0.12173711684968502,0.08087779940238882,0.16132595238594363,0.5793688957882026,0.34918991347512485,0.7786661827571926,0.0498131081872594,1.9063156669679204,3.845322247311205e-4,0.02574767217479451,-0.5076144497940724
C. Combined + vol target,185,0.11018655637312547,0.08087779940238882,0.1296197136543791,0.6045957153704044,0.34918991347512485,0.6098327616322403,0.044178650689219785,2.041503572055994,-0.003264936091940694,-0.19631209253248405,-0.4535296637860792
"C. Combined, 200 names",110,0.13808849344260055,0.09443485784835293,0.145204862421802,0.6782623959702578,0.37697102046080694,0.602554154150918,0.060867898719589975,1.7385839092096984,-0.006645617269210875,-0.3729667965240251,-0.2046132385455922
