grp,avg_spread,t_stat,hit_rate,n_periods,feature
1994-2001,0.055979948222899374,1.3479794720355358,0.6808510638297872,94,ep
2002-2009,0.00715116047790022,0.3671058079393007,0.5625,96,ep
2010-2017,0.02094955241116762,2.2037429400275546,0.6145833333333334,96,ep
2018-2024,0.027478699442085218,1.1689741497188355,0.6111111111111112,72,ep
1994-2001,0.062470198494963707,1.5525240591105782,0.5638297872340425,94,bp
2002-2009,0.08227069755849875,3.9376973662008257,0.6458333333333334,96,bp
2010-2017,-0.007348770054881151,-0.5798746050187835,0.4166666666666667,96,bp
2018-2024,0.06224888665897657,1.5294159395551816,0.4583333333333333,72,bp
1994-2001,0.05581880717823397,0.8862423957048394,0.574468085106383,94,sp
2002-2009,0.14535420805771546,5.7601167495765875,0.78125,96,sp
2010-2017,0.020953785187797745,1.412003056490739,0.5208333333333334,96,sp
2018-2024,0.1602806025465374,3.3302139688890393,0.6111111111111112,72,sp
1994-2001,0.12218883597270341,5.6849522236230445,0.8191489361702128,94,fcfp
2002-2009,-0.008001869507478197,-0.5719230595567457,0.5729166666666666,96,fcfp
2010-2017,0.04864307498859924,5.569305168026462,0.6458333333333334,96,fcfp
2018-2024,0.057613507179313274,3.174994632841951,0.75,72,fcfp
1994-2001,-0.01888039660458867,-0.7183292838056248,0.46808510638297873,94,divy
2002-2009,-0.013346011016888744,-1.1180575460312459,0.46875,96,divy
2010-2017,0.011631702534728318,1.0115833011058994,0.46875,96,divy
2018-2024,0.06813922664432406,3.093037979497719,0.625,72,divy
1994-2001,0.07868584494939389,1.5205164628762777,0.6063829787234043,94,ebitda_ev
2002-2009,0.08359753202515643,5.824131691424637,0.78125,96,ebitda_ev
2010-2017,0.007206761875030981,0.5685507428037452,0.5416666666666666,96,ebitda_ev
2018-2024,0.048541893347652375,1.1902728390799708,0.5972222222222222,72,ebitda_ev
1994-2001,0.04863579894685748,1.840952820368178,0.6881720430107527,93,roe
2002-2009,0.011808014359768483,0.8216750373373972,0.6770833333333334,96,roe
2010-2017,0.01308410872794498,1.263253811854353,0.5729166666666666,96,roe
2018-2024,0.04267521558649289,3.1789733140385588,0.6805555555555556,72,roe
1994-2001,0.08116264130654027,2.3413733412294375,0.7204301075268817,93,roa
2002-2009,-0.013131693051379087,-0.6368032449199728,0.6666666666666666,96,roa
2010-2017,0.011457231059120901,0.8378273996495132,0.5104166666666666,96,roa
2018-2024,0.07598738988379883,2.9092625471651097,0.7083333333333334,72,roa
1994-2001,0.05408664307986954,1.5244511687195037,0.723404255319149,94,roic
2002-2009,0.0016638523689987998,0.08828542994315562,0.6354166666666666,96,roic
2010-2017,0.028729231513095473,2.258575675062173,0.5416666666666666,96,roic
2018-2024,0.04856775106714786,2.442943038854393,0.7222222222222222,72,roic
1994-2001,0.1014296831056789,8.096966486494614,0.8297872340425532,94,gross_margin
2002-2009,-0.0024678432464169267,-0.2725756950396547,0.3854166666666667,96,gross_margin
2010-2017,0.03311275953883885,3.3735189003769133,0.6041666666666666,96,gross_margin
2018-2024,-0.03413613545608594,-3.2381039543934076,0.2916666666666667,72,gross_margin
1994-2001,0.11563242777131279,2.3307306050920475,0.7127659574468085,94,op_margin
2002-2009,-0.034130383804089164,-1.5584329439736346,0.3958333333333333,96,op_margin
2010-2017,0.02349302678719368,1.6986376470646567,0.4895833333333333,96,op_margin
2018-2024,0.00706933132020292,0.17669416502271218,0.5972222222222222,72,op_margin
1994-2001,0.08154045625845929,1.9707965509532466,0.7340425531914894,94,net_margin
2002-2009,-0.023342023904898507,-1.0691835859540946,0.5208333333333334,96,net_margin
2010-2017,0.02586706387021894,2.09217712194775,0.6041666666666666,96,net_margin
2018-2024,0.017481954674802878,0.5705726613543514,0.625,72,net_margin
1994-2001,-0.06963785589368308,-2.553235815350851,0.3655913978494624,93,rev_growth
2002-2009,-0.007599432335921113,-0.7970766345853173,0.5104166666666666,96,rev_growth
2010-2017,-0.019811374045544547,-1.7048398866768335,0.5208333333333334,96,rev_growth
2018-2024,-0.05942493087222248,-2.355096012599589,0.4027777777777778,72,rev_growth
1994-2001,-0.003831547650385898,-0.27594874518293244,0.5978260869565217,92,eps_growth
2002-2009,-0.017667027251473896,-1.2152739044852967,0.5625,96,eps_growth
2010-2017,0.026001415058439437,3.2440344274756,0.5625,96,eps_growth
2018-2024,-0.021250801598568726,-1.453111864449164,0.5277777777777778,72,eps_growth
1994-2001,-0.20591228386925037,-8.568328436892319,0.13978494623655913,93,asset_growth
2002-2009,-0.05092878218881407,-4.405194092804373,0.3020833333333333,96,asset_growth
2010-2017,-0.025229852083778547,-2.332275963818121,0.4583333333333333,96,asset_growth
2018-2024,-0.07412491509286931,-2.686716656115637,0.5138888888888888,72,asset_growth
1994-2001,0.07497206089619393,6.4049782954281005,0.8021978021978022,91,fcf_growth
2002-2009,-0.02334462413795924,-3.0585176341615643,0.34375,96,fcf_growth
2010-2017,0.02821432555917002,4.9939117764802035,0.6770833333333334,96,fcf_growth
2018-2024,6.344207012678046e-4,0.09224146579652516,0.5277777777777778,72,fcf_growth
1994-2001,-0.06993119442128286,-3.3366004854117004,0.46808510638297873,94,leverage
2002-2009,0.041451838937715604,3.0844490581514066,0.6875,96,leverage
2010-2017,5.468770648307669e-4,0.053781426588296904,0.4375,96,leverage
2018-2024,0.024092014347048798,1.0583507714052258,0.5138888888888888,72,leverage
1994-2001,-0.012297828301990176,-0.2968012407238099,0.39361702127659576,94,current_ratio
2002-2009,-0.06588048626957917,-4.846076877218664,0.28125,96,current_ratio
2010-2017,0.018632983521987567,1.662701637949955,0.5520833333333334,96,current_ratio
2018-2024,-0.06687053075823479,-2.3022119573521493,0.3472222222222222,72,current_ratio
1994-2001,0.010851044307805808,0.21548672350564538,0.4574468085106383,94,cash_ratio
