strategy,n_mo,ann_ret,mkt_ret,vol,sharpe,mkt_sharpe,beta,capm_a,capm_t,ff6_a,ff6_t,max_dd
"Baseline (100, all)",372,0.11781756119851261,0.10607086194684068,0.19590515950588125,0.550043063080495,0.5784434521668805,1.0179280323196482,0.016277380290490764,0.7699913676433439,-0.00794161952831728,-0.809386133888087,-0.5466562918233484
A. Vol-targeted 12%,372,0.09066634307075216,0.10607086194684068,0.15936837125586475,0.4800025651259599,0.5784434521668805,0.8068359238403514,0.003988704414798922,0.2223231529815852,-0.023028946433125478,-1.8195917303804574,-0.5150186076071048
A. Vol-targeted 15%,372,0.09922196156389917,0.10607086194684068,0.19074040360225414,0.4727293653938081,0.5784434521668805,0.9796856734596157,0.0021264506694929565,0.1014088925165387,-0.029018358839130308,-2.0928458138632493,-0.5761480692539965
B. Low-beta screen,372,0.11627054481762089,0.10607086194684068,0.18169510677909942,0.5705775673855411,0.5784434521668805,0.9494851042068686,0.018343069715425764,0.9459983296469789,-0.007268341511495297,-0.8119743719293433,-0.5425177078427387
B. P80-100 (large cap),364,0.11919422031594684,0.10761032193417464,0.15539820825472642,0.6563594574590305,0.586484898810286,0.863248926658198,0.022881742469744948,1.60356315833091,0.0019144403535856917,0.23836439893598832,-0.48987065361203574
C. Combined,365,0.11988137575353064,0.10886539225180125,0.16157787247266953,0.6411719424948585,0.5937275812915245,0.871632729551558,0.02278236688741776,1.4161568017536086,-0.0013261826032530154,-0.14206705829833624,-0.5076144497940724
C. Combined + vol target,365,0.10224554268450414,0.10886539225180125,0.13354243343708078,0.6244997140461459,0.5937275812915245,0.6964548491173438,0.01882268112251397,1.3194337991753093,-0.007270373601728331,-0.6389966365999545,-0.4535296637860792
"C. Combined, 200 names",163,0.1214741814531799,0.08861195269657984,0.15182400415223965,0.620271143794881,0.39979208906128605,0.6966734824067512,0.04760177715088148,1.7892860714466738,-0.01364641169478791,-0.9220392714376641,-0.2046132385455922
