Leg,Cost bp,Ann ret,Ann vol,Sharpe,CAPM a,CAPM t,Beta,FF6 a,FF6 t
Long only,20,0.12501951762708985,0.24208977628374476,0.5606128668243744,-0.05952217347234478,-1.7802510453581606,1.399008409171011,0.002520266240853078,0.14417077895971028
Short only,20,-0.11997890047414828,0.27610455286957913,-0.36521559856557495,0.099956000403856,2.1180161318203785,-1.4387978143298747,0.012970080754446115,0.5469756068150997
Long-short,20,0.04710679492728409,0.15976108837206723,0.36658191299082876,0.06430733843618153,1.4806400758958849,-0.041143265275695784,0.039403347495977833,1.5050516697269434
