item,monthly,annual,t_stat,hit
asset_growth (INVERTED),0.009322510604714083,0.11778817657240603,3.8008021334281996,0.5447154471544715
fcfp (+),0.006911386494137753,0.0861630497077166,3.502933178699945,0.5435356200527705
gross_margin (+),0.003351181313520069,0.04096372573315121,2.1665441399542438,0.5197889182058048
*** COMPOSITE ***,0.008648508081125737,0.1088638002123199,2.138217047248306,0.5277044854881267
rev_growth (INVERTED),0.004954325357127018,0.061098950542652686,2.1173004322795506,0.5338753387533876
accruals (INVERTED),0.0030999803079859176,0.0378406154736719,1.826873480419523,0.5663956639566395
sp (+),0.007049215629521564,0.08794852168307732,1.7646344487544703,0.554089709762533
int_coverage (+),0.004683730971607163,0.057675480522562106,1.6943118558673567,0.5145118733509235
roa (+),0.004447727979375308,0.05469791857483064,1.5148942713828006,0.5067750677506775
ebitda_ev (+),0.005565485359274841,0.06886855442893425,1.5122982154668516,0.5277044854881267
ep (+),0.0035159420098847586,0.043016824150905686,1.2452666508815922,0.5092348284960422
fcf_growth (+),0.0015563434202957797,0.018836818826728496,1.208804258173095,0.5555555555555556
roe (+),0.0026012383396726846,0.031665340181116,1.2062096517273346,0.5040650406504065
cash_ratio (INVERTED),0.003874951437746138,0.04750333629918391,1.1323829205617182,0.5065963060686016
bp (+),0.002903517386105171,0.035404036377073345,0.9547117225506364,0.49076517150395776
current_ratio (INVERTED),0.002512109213980401,0.030565323771767794,0.8043441536621151,0.525065963060686
