config,n_months,ann_ret,mkt_ret,ann_vol,sharpe,mkt_sharpe,beta,capm_a,capm_t,ff6_a,ff6_t
Unconstrained,175,0.13676803348207067,0.14970197016815345,0.22881079235922064,0.623528968352093,0.9344837369379819,1.339550832042293,-0.04427296406654281,-1.4636290645262005,0.007723274646746105,0.35319361907373736
Beta-neutral,175,0.12730794668677547,0.14970197016815345,0.2093151516452126,0.6223022796412695,0.9344837369379819,1.2413016464379603,-0.04297450585324873,-1.6207357147643267,-0.0038518051219691755,-0.19871590462598693
