model,form_date,ic
elastic_net,2020-06-30,0.17822922511206066
elastic_net,2020-07-31,0.22862522708810581
elastic_net,2020-08-31,0.24511888494958398
elastic_net,2020-09-30,0.308524688326521
elastic_net,2020-10-31,0.287745071303135
elastic_net,2020-11-30,0.3302190551496965
elastic_net,2020-12-31,0.4054632786865438
elastic_net,2021-01-31,0.544026872394759
elastic_net,2021-02-28,0.5039819284275954
elastic_net,2021-03-31,0.38082374893912635
elastic_net,2021-04-30,0.4560046500800823
elastic_net,2021-05-31,0.4764361517344186
elastic_net,2021-06-30,0.5386263264373985
elastic_net,2021-07-31,0.49314635163589393
elastic_net,2021-08-31,0.4735262463064926
elastic_net,2021-09-30,0.4587233446239448
elastic_net,2021-10-31,0.47041876132773164
elastic_net,2021-11-30,0.45833008681431553
elastic_net,2021-12-31,0.44602379043114093
elastic_net,2022-01-31,NA
elastic_net,2022-02-28,NA
elastic_net,2022-03-31,NA
elastic_net,2022-04-30,NA
elastic_net,2022-05-31,NA
elastic_net,2022-06-30,NA
elastic_net,2022-07-31,NA
elastic_net,2022-08-31,NA
elastic_net,2022-09-30,NA
elastic_net,2022-10-31,NA
elastic_net,2022-11-30,NA
elastic_net,2022-12-31,NA
elastic_net,2023-01-31,0.04530308239805156
elastic_net,2023-02-28,0.009314445828837952
elastic_net,2023-03-31,0.08690854135776598
elastic_net,2023-04-30,0.06804751620193898
elastic_net,2023-05-31,0.14139327516037384
elastic_net,2023-06-30,0.06457335524530305
elastic_net,2023-07-31,0.056397157281213466
elastic_net,2023-08-31,0.028991880597521683
elastic_net,2023-09-30,0.006106285957533387
elastic_net,2023-10-31,-0.003742304034898234
elastic_net,2023-11-30,0.01308435901302528
elastic_net,2023-12-31,-0.0162863777322043
random_forest,2010-01-31,0.08950495309333215
random_forest,2010-02-28,0.0827746360454351
random_forest,2010-03-31,0.024847797776067153
random_forest,2010-04-30,0.032243560807561654
random_forest,2010-05-31,0.04316994293920851
random_forest,2010-06-30,0.07754642622445523
random_forest,2010-07-31,0.046662467958659325
random_forest,2010-08-31,0.027690900678253416
random_forest,2010-09-30,0.027669468215308624
random_forest,2010-10-31,0.01125436517136512
random_forest,2010-11-30,0.039329718408946536
random_forest,2010-12-31,0.07446741417474609
random_forest,2011-01-31,-0.0015182306631460918
random_forest,2011-02-28,0.13756738961921652
random_forest,2011-03-31,0.13640577224798214
random_forest,2011-04-30,0.13366308474150354
random_forest,2011-05-31,0.1458372743582873
random_forest,2011-06-30,0.11113983944900503
random_forest,2011-07-31,0.14809847084718497
random_forest,2011-08-31,0.09769578309494276
random_forest,2011-09-30,0.07960616993788501
random_forest,2011-10-31,0.14308507406240967
random_forest,2011-11-30,0.12120095605817946
random_forest,2011-12-31,0.07691703927201354
random_forest,2012-01-31,0.09311619094644555
random_forest,2012-02-29,0.0350094322177456
random_forest,2012-03-31,0.12686318203534772
random_forest,2012-04-30,0.17367104105153391
random_forest,2012-05-31,0.16540579489603474
random_forest,2012-06-30,0.13700526920369357
random_forest,2012-07-31,0.15094429565182765
random_forest,2012-08-31,0.10488820245097309
random_forest,2012-09-30,0.09062593969535535
random_forest,2012-10-31,0.048440080295923414
random_forest,2012-11-30,0.04252153487217419
random_forest,2012-12-31,0.04400627231174724
random_forest,2013-01-31,0.05303975769053626
random_forest,2013-02-28,0.05311293073058864
random_forest,2013-03-31,0.099908723566106
random_forest,2013-04-30,0.1344094975869897
random_forest,2013-05-31,0.08814796137781707
random_forest,2013-06-30,0.10519966222656499
random_forest,2013-07-31,0.06947139708907495
random_forest,2013-08-31,0.08020732859307102
random_forest,2013-09-30,0.06370599818616282
random_forest,2013-10-31,0.06207551887500684
random_forest,2013-11-30,0.0630343508318701
random_forest,2013-12-31,0.07481804838863308
random_forest,2014-01-31,0.07415818792214118
random_forest,2014-02-28,0.06615607585473694
random_forest,2014-03-31,-0.003595212117514933
random_forest,2014-04-30,-0.06400257526464426
random_forest,2014-05-31,-0.07006085086535073
random_forest,2014-06-30,-0.04936727322117633
random_forest,2014-07-31,-0.08500730637619586
random_forest,2014-08-31,-0.050382924290966434
random_forest,2014-09-30,-0.037079068636940306
random_forest,2014-10-31,-0.03199267471122219
random_forest,2014-11-30,-0.08043125359474954
random_forest,2014-12-31,-0.09741310239419346
random_forest,2015-01-31,-0.01406976016182848
random_forest,2015-02-28,0.00573933473949544
random_forest,2015-03-31,-0.012887488866565539
random_forest,2015-04-30,-0.014444182618348782
random_forest,2015-05-31,-0.020948710410679184
random_forest,2015-06-30,0.008468854609623827
random_forest,2015-07-31,0.05886146473552333
random_forest,2015-08-31,0.023930353313715562
random_forest,2015-09-30,0.07790351329851737
random_forest,2015-10-31,0.049451924194052484
random_forest,2015-11-30,0.17848434682383352
random_forest,2015-12-31,0.231385847040664
random_forest,2016-01-31,0.147637277983172
random_forest,2016-02-29,0.08880096657606062
random_forest,2016-03-31,0.04038109623536206
random_forest,2016-04-30,-0.020869923779932586
random_forest,2016-05-31,-0.058819785958894574
random_forest,2016-06-30,-0.029707003741912492
random_forest,2016-07-31,-0.041724803192323225
random_forest,2016-08-31,-0.09478700861974744
random_forest,2016-09-30,-0.055328156571362676
random_forest,2016-10-31,-0.09031386768863599
random_forest,2016-11-30,-0.1298297445880153
random_forest,2016-12-31,-0.08742765045010965
random_forest,2017-01-31,-0.09754987945153874
random_forest,2017-02-28,-0.11865356411414327
random_forest,2017-03-31,-0.06264015916738618
random_forest,2017-04-30,-0.05960075979947458
random_forest,2017-05-31,-0.009275549706967312
random_forest,2017-06-30,-0.03786147458987687
random_forest,2017-07-31,-0.022946056240746384
random_forest,2017-08-31,-0.025613587798024664
random_forest,2017-09-30,-0.038521375554745094
random_forest,2017-10-31,0.009287189728818316
random_forest,2017-11-30,-0.024357601810531454
random_forest,2017-12-31,-0.06424106773830493
random_forest,2018-01-31,-0.05540261130754663
random_forest,2018-02-28,-0.06887097004600846
random_forest,2018-03-31,-0.15288419855924462
random_forest,2018-04-30,-0.13045111550387395
random_forest,2018-05-31,-0.10715766980144376
random_forest,2018-06-30,-0.1004323747137246
random_forest,2018-07-31,-0.11525999265338292
random_forest,2018-08-31,-0.08412938391395575
