feature,x,yhat
rk_fcfp,0.025,0.022212268532158783
rk_fcfp,0.075,0.020560930308739712
rk_fcfp,0.125,0.022194135350994244
rk_fcfp,0.175,0.0293792107015296
rk_fcfp,0.22499999999999998,0.02996744168248632
rk_fcfp,0.27499999999999997,0.03081713870776838
rk_fcfp,0.325,0.037405695074342826
rk_fcfp,0.375,0.04757148925548926
rk_fcfp,0.425,0.04785068664469817
rk_fcfp,0.475,0.050148649471105464
rk_fcfp,0.5249999999999999,0.06702924266363446
rk_fcfp,0.575,0.06927726622237873
rk_fcfp,0.625,0.07161997904333516
rk_fcfp,0.6749999999999999,0.07352682176753789
rk_fcfp,0.725,0.07551406926748618
rk_fcfp,0.7749999999999999,0.07622650595304607
rk_fcfp,0.825,0.08278736077289973
rk_fcfp,0.875,0.08407331534502463
rk_fcfp,0.9249999999999999,0.08471900141476967
rk_fcfp,0.975,0.08812715339644693
rk_divy,0.025,-0.1375413563766078
rk_divy,0.075,-0.1375413563766078
rk_divy,0.125,-0.1375413563766078
rk_divy,0.175,-0.1375413563766078
rk_divy,0.22499999999999998,-0.1375413563766078
rk_divy,0.27499999999999997,-0.1375413563766078
rk_divy,0.325,-0.1375413563766078
rk_divy,0.375,-0.1375413563766078
rk_divy,0.425,0.138752426489421
rk_divy,0.475,0.0988818039947336
rk_divy,0.5249999999999999,0.07808540587068752
rk_divy,0.575,0.07800274140444585
rk_divy,0.625,0.07856038766958034
rk_divy,0.6749999999999999,0.07856038766958034
rk_divy,0.725,0.0788901070899399
rk_divy,0.7749999999999999,0.07883018014832154
rk_divy,0.825,0.07883864792720528
rk_divy,0.875,0.07833093629933371
rk_divy,0.9249999999999999,0.07855838810811967
rk_divy,0.975,0.08182247443915579
rk_sp,0.025,-0.01060712192582277
rk_sp,0.075,0.007539777663662038
rk_sp,0.125,0.0131113428952314
rk_sp,0.175,0.021742037293267163
rk_sp,0.22499999999999998,0.02176317917958417
rk_sp,0.27499999999999997,0.020939327387273565
rk_sp,0.325,0.0215701569777743
rk_sp,0.375,0.03051100671886642
rk_sp,0.425,0.04053934146737462
rk_sp,0.475,0.04997249703232132
rk_sp,0.5249999999999999,0.05575558701669855
rk_sp,0.575,0.06545296159237872
rk_sp,0.625,0.06688842682661879
rk_sp,0.6749999999999999,0.06727171519662847
rk_sp,0.725,0.06804533349357994
rk_sp,0.7749999999999999,0.0716465782557729
rk_sp,0.825,0.07480056068660033
rk_sp,0.875,0.07585733507391824
rk_sp,0.9249999999999999,0.07926672012478204
rk_sp,0.975,0.09980343058702605
rk_current_ratio,0.025,0.0767189955848437
rk_current_ratio,0.075,0.07635614758650794
rk_current_ratio,0.125,0.07233603754462374
rk_current_ratio,0.175,0.0718397432540719
rk_current_ratio,0.22499999999999998,0.06967314511196501
rk_current_ratio,0.27499999999999997,0.07022114887221288
rk_current_ratio,0.325,0.07071089211191008
rk_current_ratio,0.375,0.06234192247630516
rk_current_ratio,0.425,0.054864772506789734
rk_current_ratio,0.475,0.05354089849462223
rk_current_ratio,0.5249999999999999,0.04800509195655123
rk_current_ratio,0.575,0.04803846670901332
rk_current_ratio,0.625,0.046927913444270906
rk_current_ratio,0.6749999999999999,0.04640983238111365
rk_current_ratio,0.725,0.04221510568985782
rk_current_ratio,0.7749999999999999,0.03363187037599517
rk_current_ratio,0.825,0.024375070733544713
rk_current_ratio,0.875,0.02435212196630124
rk_current_ratio,0.9249999999999999,0.024455179156904927
rk_current_ratio,0.975,0.023943944750503137
rk_gross_margin,0.025,0.04033634701923299
rk_gross_margin,0.075,0.03321154042956817
rk_gross_margin,0.125,0.033554018811824675
rk_gross_margin,0.175,0.03404914369315679
rk_gross_margin,0.22499999999999998,0.03421630622303109
rk_gross_margin,0.27499999999999997,0.033564573683745345
rk_gross_margin,0.325,0.033903237468985964
rk_gross_margin,0.375,0.03389056086615067
rk_gross_margin,0.425,0.034071441374545444
rk_gross_margin,0.475,0.03506768579341886
rk_gross_margin,0.5249999999999999,0.049038450979546004
rk_gross_margin,0.575,0.04925027652210276
rk_gross_margin,0.625,0.04946444076166517
rk_gross_margin,0.6749999999999999,0.04743739667687128
rk_gross_margin,0.725,0.04900862791400606
rk_gross_margin,0.7749999999999999,0.057613421841455396
rk_gross_margin,0.825,0.058357814604995784
rk_gross_margin,0.875,0.06127244806321
rk_gross_margin,0.9249999999999999,0.06327148585699208
rk_gross_margin,0.975,0.0867626511963088
rk_roa,0.025,0.02664773689711004
rk_roa,0.075,0.026379974151422715
rk_roa,0.125,0.029118396498570304
rk_roa,0.175,0.027388243695221495
rk_roa,0.22499999999999998,0.029706337192525453
rk_roa,0.27499999999999997,0.04710713892177916
rk_roa,0.325,0.0588125224441652
rk_roa,0.375,0.056519855367330986
rk_roa,0.425,0.05571885350518604
rk_roa,0.475,0.05565058690504848
rk_roa,0.5249999999999999,0.056863614369503886
rk_roa,0.575,0.057066539828267565
rk_roa,0.625,0.05583882432601901
rk_roa,0.6749999999999999,0.05594177032177349
rk_roa,0.725,0.056024096684631854
rk_roa,0.7749999999999999,0.05510659074090627
rk_roa,0.825,0.055845784155306576
rk_roa,0.875,0.060097830630032816
rk_roa,0.9249999999999999,0.06454010210872742
rk_roa,0.975,0.059847811564052
rk_net_margin,0.025,0.005980849434099874
rk_net_margin,0.075,0.04322577276082914
rk_net_margin,0.125,0.0418498726958505
rk_net_margin,0.175,0.042433549542299574
rk_net_margin,0.22499999999999998,0.042169974843191134
rk_net_margin,0.27499999999999997,0.04187822573210229
rk_net_margin,0.325,0.046067006563676495
rk_net_margin,0.375,0.046563047406507324
rk_net_margin,0.425,0.046552719042635256
rk_net_margin,0.475,0.04648812458563941
rk_net_margin,0.5249999999999999,0.05131873294543117
rk_net_margin,0.575,0.0525285175458637
rk_net_margin,0.625,0.0532395139750028
rk_net_margin,0.6749999999999999,0.0557260619824096
rk_net_margin,0.725,0.05520078672892598
