sector,t1,ann1,t2,ann2
Tech,2.41152929330544,0.08576596696140948,0.4528752183561598,0.038691713519548365
Financials,1.9741312755232683,0.0447485971692434,0.8113581400789494,0.043520830537258526
Industrials,1.6048390816651554,0.0470823161077909,1.273797092831326,0.07671805150467059
Cons Staples,1.285231314257638,0.05396989802980512,0.7410667421554933,0.04366817836555659
Utilities,0.8681554962444752,0.021845855423338945,1.7588810873478091,0.07207920456769368
Telecom,0.808938252377613,0.05696029240354883,0.5024345957064971,0.04825599913988654
Health Care,0.09744753895404076,0.0048075334677706305,1.019066157548955,0.09813454015569878
Materials,-0.015767290530364228,-8.283326347559017e-4,-0.30982032828647244,-0.020508932921328382
Cons Disc,-0.1862442901274895,-0.006121629397042971,0.7933549261932537,0.05721668475411601
Energy,-0.3910378850773919,-0.021482164977744578,1.1361241428191469,0.09910831117446017
