strategy,f_sharpe,f_mkt,f_beta,f_a,f_t,h1_sharpe,h1_mkt,h1_a,h2_sharpe,h2_mkt,h2_a,c1_sharpe_both,c2_alpha_both,c3_alpha_sig,c4_low_beta,c5_beats_rand,PASS,n_criteria
"Baseline (100, all)",0.550043063080495,0.5784434521668805,1.0179280323196482,0.016277380290490764,0.7699913676433439,0.658470303180514,0.32671749789458776,0.07133780203106066,0.4610483881212131,0.8624047885182824,-0.06098327724198045,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,2
A. Vol-targeted 12%,0.4800025651259599,0.5784434521668805,0.8068359238403514,0.003988704414798922,0.2223231529815852,0.607751153320627,0.32671749789458776,0.05142978652989001,0.3754184700605795,0.8624047885182824,-0.06180379097373659,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,2
A. Vol-targeted 15%,0.4727293653938081,0.5784434521668805,0.9796856734596157,0.0021264506694929565,0.1014088925165387,0.6045545187764797,0.32671749789458776,0.059130503117152164,0.3690682973006997,0.8624047885182824,-0.07799276164164552,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,2
B. Low-beta screen,0.5705775673855411,0.5784434521668805,0.9494851042068686,0.018343069715425764,0.9459983296469789,0.6534443035808426,0.32671749789458776,0.06749008456833866,0.49726571634294175,0.8624047885182824,-0.04943985872650809,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,2
B. P80-100 (large cap),0.6563594574590305,0.586484898810286,0.863248926658198,0.022881742469744948,1.60356315833091,0.5568059427878473,0.33438439858808994,0.04398027058723827,0.7549185157680572,0.8624047885182824,-0.007070951414038178,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,2
C. Combined,0.6411719424948585,0.5937275812915245,0.871632729551558,0.02278236688741776,1.4161568017536086,0.5793688957882026,0.34918991347512485,0.0498131081872594,0.7025455210388364,0.8624047885182824,-0.01448942980579834,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,2
C. Combined + vol target,0.6244997140461459,0.5937275812915245,0.6964548491173438,0.01882268112251397,1.3194337991753093,0.6045957153704044,0.34918991347512485,0.044178650689219785,0.64275860461763,0.8624047885182824,-0.01608637292069839,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,2
"C. Combined, 200 names",0.620271143794881,0.39979208906128605,0.6966734824067512,0.04760177715088148,1.7892860714466738,0.6782623959702578,0.37697102046080694,0.060867898719589975,0.5137831306809387,0.4418519484269328,0.018318861510361387,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,4
