cohort,total_ret
2010-01-31,0.13284927903225308
2010-02-28,-0.03165977969346445
2010-03-31,0.020345375016844525
2010-04-30,-0.0456510617125786
2010-05-31,0.13799373908806434
2010-06-30,0.3354778824293807
2010-07-31,0.2733215256312431
2010-08-31,0.41253690486686323
2010-09-30,0.25134359873240064
2010-10-31,0.24802862894234035
2010-11-30,0.2115084788607544
2010-12-31,0.04019941295793994
2011-01-31,0.016925467876499845
2011-02-28,-0.09829023145769966
2011-03-31,-0.18438381921862512
2011-04-30,-0.10596651385694955
2011-05-31,-0.1135171326537252
2011-06-30,-0.06338704064371847
2011-07-31,0.008016026330371684
2011-08-31,0.15399699525816102
2011-09-30,0.3247544385013996
2011-10-31,0.11285785833319206
2011-11-30,0.035007768291131836
2011-12-31,0.06286169844453537
2012-01-31,-0.011948116243001516
2012-02-29,-0.08520073401601402
2012-03-31,-0.028163713913667898
2012-04-30,0.006214801960264138
2012-05-31,0.12538481806423607
2012-06-30,0.10952169591797234
2012-07-31,0.21915594761291235
2012-08-31,0.17714251819848648
2012-09-30,0.183891897418617
2012-10-31,0.17205694054497744
2012-11-30,0.26088456176096697
2012-12-31,0.18860132146503683
2013-01-31,0.269337377234075
2013-02-28,0.21808162325832603
2013-03-31,0.20031779178206288
2013-04-30,0.2461650631894885
2013-05-31,0.1958230638276146
2013-06-30,0.25755654684675444
2013-07-31,0.1494692520376455
2013-08-31,0.19811361550227047
2013-09-30,0.10040685769373292
2013-10-31,0.07526492894578052
2013-11-30,0.028543151118493038
2013-12-31,0.052539217572560526
2014-01-31,0.0018240454536304629
2014-02-28,-0.013123899284060325
2014-03-31,-0.05479417847004908
2014-04-30,0.013083522538277714
2014-05-31,0.009348760330827988
2014-06-30,-0.010726400269586711
2014-07-31,-0.00567026231171075
2014-08-31,0.010580412784275461
2014-09-30,0.09619910289405231
2014-10-31,0.07218931495460357
2014-11-30,0.10606327240099578
2014-12-31,0.026653898419988886
2015-01-31,0.04060337334853359
2015-02-28,-0.10217479448112621
2015-03-31,-0.13408754692534464
2015-04-30,-0.06556315363007958
2015-05-31,-0.05624866521088301
2015-06-30,-0.12082890242479394
2015-07-31,-0.1626798041526316
2015-08-31,-0.10685570810230371
2015-09-30,0.03565115282865139
2015-10-31,-0.056633639519575674
2015-11-30,-0.05918580971473075
2015-12-31,-0.018912418762589978
2016-01-31,0.22357673655121313
2016-02-29,0.20230480724192135
2016-03-31,0.1477625893961596
2016-04-30,0.07099646186685304
2016-05-31,0.1967525770724532
2016-06-30,0.1944813619323118
2016-07-31,0.14753045530728293
2016-08-31,0.1197260116259955
2016-09-30,0.07482757399751172
2016-10-31,0.16299620632713285
2016-11-30,0.013484415064198618
2016-12-31,0.03342589338467383
2017-01-31,0.05023107122844639
2017-02-28,-0.002407978930012211
2017-03-31,0.1015176168425651
2017-04-30,0.08991383698029831
2017-05-31,0.1514216013530656
2017-06-30,0.12344116471002531
2017-07-31,0.1452023621303462
2017-08-31,0.06880050789255088
2017-09-30,0.06154359445181257
2017-10-31,0.09931576568231826
2017-11-30,0.10865644464144264
2017-12-31,0.12584550717381404
2018-01-31,0.07119506173656553
2018-02-28,0.17517414826639643
2018-03-31,0.17303769912403344
2018-04-30,0.010970554078095773
2018-05-31,-0.03408943979912826
2018-06-30,-0.1819105091243255
2018-07-31,-0.1134761022621138
2018-08-31,-0.11120900734171979
2018-09-30,-0.1147464311465416
2018-10-31,0.053585431795601046
2018-11-30,-0.0781781158484035
2018-12-31,0.13920010181720066
2019-01-31,0.02910207904780293
2019-02-28,-0.11546014520789794
2019-03-31,-0.10455094852463398
2019-04-30,-0.14068146359477085
2019-05-31,0.08506230586275487
2019-06-30,0.04269443902061543
2019-07-31,-0.02545220377387236
2019-08-31,-0.05536219263729025
2019-09-30,-0.3225503861296114
2019-10-31,-0.16282229351896993
2019-11-30,-0.12953494132720966
2019-12-31,-0.11512869975549467
2020-01-31,0.012318056921842402
2020-02-29,0.18279473964266835
2020-03-31,0.49971327274668065
2020-04-30,0.18487955981360304
2020-05-31,0.27461846305764204
2020-06-30,0.3871326990862234
2020-07-31,0.4051849750825922
2020-08-31,0.5302982743357105
2020-09-30,0.6254340238679155
2020-10-31,0.720809769709613
2020-11-30,0.4040467409216
2020-12-31,0.33032062233585413
2021-01-31,0.18883402777406033
2021-02-28,0.11201861991828177
2021-03-31,0.021947647196894904
2021-04-30,0.06849510706279771
2021-05-31,-0.028905153144630047
2021-06-30,-0.011654519143257214
2021-07-31,0.014200954754365558
2021-08-31,-0.042305251407660505
2021-09-30,-0.013110073572837444
2021-10-31,-0.12969107119553636
2021-11-30,-0.09473630146920764
2021-12-31,-0.23044857932553886
2022-01-31,-0.061981623942289676
2022-02-28,-0.11407773765267148
2022-03-31,-0.13441362250700783
2022-04-30,0.054386446776064856
2022-05-31,0.046576459133811365
2022-06-30,0.10809598023514888
2022-07-31,0.104014211443203
2022-08-31,0.09747954558647742
2022-09-30,0.08246585319251443
2022-10-31,-0.06961505912009502
2022-11-30,-0.17824686328189232
2022-12-31,-0.008688557762438487
2023-01-31,0.048730140349401374
2023-02-28,0.020400985920051795
2023-03-31,0.07109292265821932
2023-04-30,0.03032201913382937
2023-05-31,0.17901397975974387
2023-06-30,0.22279007543181484
2023-07-31,-0.011655835483269206
2023-08-31,0.0739777031729103
2023-09-30,0.1637302158031242
2023-10-31,0.17911045837152773
2023-11-30,0.14130305099991247
2023-12-31,-0.051304520604595116
2024-01-31,0.10634400109937125
2024-02-29,0.03849985379689791
2024-03-31,0.020392865361408052
2024-04-30,0.11348721423490482
2024-05-31,0.16866444108390155
2024-06-30,0.1165181697238491
2024-07-31,-0.01224351083778319
2024-08-31,0.021458078127196467
2024-09-30,0.005381464890750198
2024-10-31,0.03179795278329478
2024-11-30,-0.0701599466666667
2024-12-31,0
