form_date,ic
2010-01-31,0.07164603924492013
2010-02-28,0.028225777121911072
2010-03-31,-0.03185223208187111
2010-04-30,0.019804835063594792
2010-05-31,-0.04595219647160767
2010-06-30,0.048542488364119285
2010-07-31,0.027228528681704927
2010-08-31,0.09282186553761584
2010-09-30,0.030878461586118885
2010-10-31,-0.03321197546346965
2010-11-30,-0.08163455338509083
2010-12-31,0.026678291324018708
2011-01-31,0.02718570150006279
2011-02-28,-0.015578573762634404
2011-03-31,0.006677414122005099
2011-04-30,0.11283048764060785
2011-05-31,0.12528462180568162
2011-06-30,0.05553830226244611
2011-07-31,0.2045816319399893
2011-08-31,0.12595585605728948
2011-09-30,-0.07783527411841558
2011-10-31,0.08985011278517663
2011-11-30,0.117235887502799
2011-12-31,-0.15498637488656936
2012-01-31,-0.019951884420004305
2012-02-29,-0.026456488701381214
2012-03-31,0.027594816116122994
2012-04-30,0.11223056381225471
2012-05-31,-0.04911952825344853
2012-06-30,0.06670109568675504
2012-07-31,-0.06408377243487912
2012-08-31,0.0017345893970255404
2012-09-30,0.2173243832659103
2012-10-31,-0.007068951933636503
2012-11-30,-0.039114355047744014
2012-12-31,-0.012722737917375632
2013-01-31,-0.014401032203385043
2013-02-28,0.030257574757429864
2013-03-31,0.00512003851934367
2013-04-30,0.12969420413070462
2013-05-31,-0.06607797116543539
2013-06-30,0.04638582980458802
2013-07-31,0.04400344616879291
2013-08-31,0.028624111895033635
2013-09-30,0.021751894701224583
2013-10-31,0.06990011972580115
2013-11-30,-0.03872053334623174
2013-12-31,0.0437730323750118
2014-01-31,0.031708608029775924
2014-02-28,0.09855611748809037
2014-03-31,0.08232170310481018
2014-04-30,-0.030900461160568698
2014-05-31,-0.08082418394315968
2014-06-30,0.10741619496056806
2014-07-31,-0.02138733438768421
2014-08-31,0.001628169901754797
2014-09-30,0.015275264405561446
2014-10-31,0.09581515234860784
2014-11-30,0.06327245167778255
2014-12-31,-0.0856552378161619
2015-01-31,-0.020801102448343656
2015-02-28,-0.0199976705870076
2015-03-31,0.0277691268336205
2015-04-30,-0.08006290358306659
2015-05-31,-0.009852971363058441
2015-06-30,0.02904251832719744
2015-07-31,0.14632573656692904
2015-08-31,0.2156848231630164
2015-09-30,0.09244900831765358
2015-10-31,0.0012804851782358259
2015-11-30,-0.039423783622132384
2015-12-31,-0.08361755473254878
2016-01-31,0.03145203794081976
2016-02-29,0.006132961120128152
2016-03-31,-0.023982192609968613
2016-04-30,-0.026049113101940663
2016-05-31,-0.12508883833894627
2016-06-30,0.11268224629547832
2016-07-31,-0.029678282728046918
2016-08-31,0.049008447036870115
2016-09-30,-0.13068717470913405
2016-10-31,0.06945168606492261
2016-11-30,-0.046581208287928624
2016-12-31,0.006172035156992691
2017-01-31,-0.06679051116033294
2017-02-28,-0.09337698405738007
2017-03-31,0.056597358036359846
2017-04-30,-0.07331373799025191
2017-05-31,0.05919776326778549
2017-06-30,-0.0274884448300046
2017-07-31,0.029511016561771627
2017-08-31,0.006415868523072759
2017-09-30,-0.02600398643678867
2017-10-31,0.08560238403185205
2017-11-30,0.052609600786918634
2017-12-31,0.036380918356413466
2018-01-31,0.003549105132538027
2018-02-28,7.87236645072224e-4
2018-03-31,0.008714216033599067
2018-04-30,7.194252774822307e-4
2018-05-31,-0.027152089759953285
2018-06-30,0.025897933750421293
2018-07-31,-0.01343758547188447
2018-08-31,-0.09800776298813785
2018-09-30,0.05982781127990071
2018-10-31,0.01695075112333798
2018-11-30,-0.030615916598421968
2018-12-31,0.043588879158275834
2019-01-31,-0.052767813441274174
2019-02-28,-0.18161733686887466
2019-03-31,0.12010219833234144
2019-04-30,-0.18148093138608287
2019-05-31,0.07457925425729628
2019-06-30,0.038046294906781825
2019-07-31,-0.1406073082265025
2019-08-31,0.28585089920022405
2019-09-30,0.004319212908109465
2019-10-31,-0.028902170023365936
2019-11-30,0.027610335329483
2019-12-31,-0.26445088901881514
2020-01-31,-0.1217851211243738
2020-02-29,-0.14920638276968237
2020-03-31,0.040971997889784686
2020-04-30,-0.13405997822393104
2020-05-31,0.006252730680658017
2020-06-30,-0.021138615706771516
2020-07-31,-0.04283408572151219
2020-08-31,-0.1245860227708465
2020-09-30,0.10337159526035618
2020-10-31,0.048279717258442954
2020-11-30,0.05669346273985684
2020-12-31,0.02613235553890948
2021-01-31,0.17469162070374616
2021-02-28,0.2897598966467669
2021-03-31,0.05951907005536094
2021-04-30,0.23156141356152182
2021-05-31,-0.15430946228597145
2021-06-30,0.25883182649025016
2021-07-31,0.0017491555732552816
2021-08-31,0.08183102993955471
2021-09-30,0.04966180666197077
2021-10-31,0.21581928174295276
2021-11-30,0.2780646532224454
2021-12-31,0.36189886121142334
2022-01-31,0.0012926629922076127
2022-02-28,-0.08157831380563081
2022-03-31,0.33853614125868964
2022-04-30,0.30139369013742
2022-05-31,-0.013149909132501041
2022-06-30,-0.060295940447998735
2022-07-31,-0.08288113949059156
2022-08-31,0.025640230341568832
2022-09-30,0.2603213106191168
2022-10-31,0.2389500470591706
2022-11-30,0.046518105793971344
2022-12-31,-0.12015514053924045
2023-01-31,0.05493483445424288
2023-02-28,-0.11501829733301434
2023-03-31,0.03500179409049159
2023-04-30,-0.22174343467426913
2023-05-31,0.1197436339845431
2023-06-30,0.14485077783548952
2023-07-31,0.019085533987076284
2023-08-31,0.11583053866346202
2023-09-30,0.03360778468910659
2023-10-31,0.05683553178430026
2023-11-30,0.07378204748896276
2023-12-31,0.025344918643490595
2024-01-31,-0.11786735319557368
2024-02-29,0.08250852321003634
2024-03-31,0.01711196381055407
2024-04-30,0.021467060280663662
2024-05-31,-0.06453163711988098
