Leg,Cost bp,Ann ret,Ann vol,Sharpe,CAPM a,CAPM t,Beta,FF6 a,FF6 t
Long only,20,0.12501951762708985,0.24208977628374476,0.5606128668243744,-0.05952217347234478,-1.7802510453581606,1.399008409171011,0.002520266240853078,0.14417077895971028
Long-short,20,0.04710679492728409,0.15976108837206723,0.36658191299082876,0.06430733843618153,1.4806400758958849,-0.041143265275695784,0.039403347495977833,1.5050516697269434
Long only,30,0.12056053277501255,0.24208977628374476,0.5440900707715922,-0.06352217347234472,-1.8998872038855557,1.399008409171011,-0.0014797337591468662,-0.08464755240976961
Long-short,30,0.03878395908243015,0.15976108837206723,0.31650714145842135,0.05630733843618154,1.2964446031051373,-0.041143265275695805,0.03140334749597784,1.1994833837064578
Long only,50,0.11169110416768024,0.24208977628374476,0.5110444786660276,-0.07152217347234474,-2.1391595209403493,1.399008409171011,-0.009479733759146881,-0.5422842151487366
Long-short,50,0.022319894189525735,0.15976108837206723,0.21635759839360702,0.0403073384361816,0.9280536575236433,-0.041143265275695846,0.015403347495977892,0.5883468116654882
