x1,x2,yhat
0.05,0.05,0.06343904970993373
0.05,0.1318181818181818,0.06343904970993373
0.05,0.21363636363636362,0.06343794512038213
0.05,0.2954545454545454,0.06343794512038213
0.05,0.3772727272727272,0.06337067092887827
0.05,0.459090909090909,0.06478738465785876
0.05,0.5409090909090909,0.06722041225826257
0.05,0.6227272727272727,0.06664558985288005
0.05,0.7045454545454545,0.061003688999431746
0.05,0.7863636363636363,0.06270439082594373
0.05,0.868181818181818,0.06413936253252157
0.05,0.95,0.0727226886968857
0.1318181818181818,0.05,0.060437773249661333
0.1318181818181818,0.1318181818181818,0.060437773249661333
0.1318181818181818,0.21363636363636362,0.060436668660109764
0.1318181818181818,0.2954545454545454,0.060436668660109764
0.1318181818181818,0.3772727272727272,0.06036939446742674
0.1318181818181818,0.459090909090909,0.06178610812733325
0.1318181818181818,0.5409090909090909,0.06421913546260849
0.1318181818181818,0.6227272727272727,0.06364431298214199
0.1318181818181818,0.7045454545454545,0.05867119217207261
0.1318181818181818,0.7863636363636363,0.06037189361157661
0.1318181818181818,0.868181818181818,0.06139794473691994
0.1318181818181818,0.95,0.06623875881218387
0.21363636363636362,0.05,0.059649406854987846
0.21363636363636362,0.1318181818181818,0.059649406854987846
0.21363636363636362,0.21363636363636362,0.05964830226543592
0.21363636363636362,0.2954545454545454,0.05964830226543592
0.21363636363636362,0.3772727272727272,0.059581028073684476
0.21363636363636362,0.459090909090909,0.06099774166304329
0.21363636363636362,0.5409090909090909,0.0634307689598735
0.21363636363636362,0.6227272727272727,0.062855946497735
0.21363636363636362,0.7045454545454545,0.05879433617329587
0.21363636363636362,0.7863636363636363,0.060495037632688695
0.21363636363636362,0.868181818181818,0.06152108875678116
0.21363636363636362,0.95,0.06505764019173337
0.2954545454545454,0.05,0.059618923951704754
0.2954545454545454,0.1318181818181818,0.059618923951704754
0.2954545454545454,0.21363636363636362,0.0596178193621532
0.2954545454545454,0.2954545454545454,0.0596178193621532
0.2954545454545454,0.3772727272727272,0.05955054517063461
0.2954545454545454,0.459090909090909,0.06096725881912481
0.2954545454545454,0.5409090909090909,0.06340028603003399
0.2954545454545454,0.6227272727272727,0.06282546361233715
0.2954545454545454,0.7045454545454545,0.05876385325041894
0.2954545454545454,0.7863636363636363,0.06046455472542578
0.2954545454545454,0.868181818181818,0.061490605850281835
0.2954545454545454,0.95,0.06502715727065338
0.3772727272727272,0.05,0.05925638356289738
0.3772727272727272,0.1318181818181818,0.05925638356289738
0.3772727272727272,0.21363636363636362,0.059255278973345774
0.3772727272727272,0.2954545454545454,0.059255278973345774
0.3772727272727272,0.3772727272727272,0.059188004777505285
0.3772727272727272,0.459090909090909,0.06060471843217988
0.3772727272727272,0.5409090909090909,0.06303774559675784
0.3772727272727272,0.6227272727272727,0.062462923182844604
0.3772727272727272,0.7045454545454545,0.05837086714019652
0.3772727272727272,0.7863636363636363,0.06007156862602992
0.3772727272727272,0.868181818181818,0.060302310810531806
0.3772727272727272,0.95,0.06383886222310495
0.459090909090909,0.05,0.058668810505543983
0.459090909090909,0.1318181818181818,0.058668810505543983
0.459090909090909,0.21363636363636362,0.05866770591599254
0.459090909090909,0.2954545454545454,0.05866770591599254
0.459090909090909,0.3772727272727272,0.05860043171782332
0.459090909090909,0.459090909090909,0.060017145478370795
0.459090909090909,0.5409090909090909,0.062450172554983446
0.459090909090909,0.6227272727272727,0.06187535013976759
0.459090909090909,0.7045454545454545,0.0577832940643258
0.459090909090909,0.7863636363636363,0.05905034484754285
0.459090909090909,0.868181818181818,0.05928108688196517
0.459090909090909,0.95,0.06247726452678575
0.5409090909090909,0.05,0.058300320372597136
0.5409090909090909,0.1318181818181818,0.058300320372597136
0.5409090909090909,0.21363636363636362,0.05829921578304556
0.5409090909090909,0.2954545454545454,0.05829921578304556
0.5409090909090909,0.3772727272727272,0.05823194158877661
