feature,small_spread,large_spread,small_minus_large,monotone,n_sig
sp,0.16540527922743486,0.03766181728045094,0.12774346194698394,-0.9411946121207914,4
cash_ratio,-0.06828467331996471,0.03393247288622641,-0.10221714620619113,0.9822420074348726,3
bp,0.09142759275832643,-0.005284058268088978,0.09671165102641541,-0.9954336414057299,3
current_ratio,-0.07868663861805533,0.012572785595508883,-0.09125942421356421,0.9669642230843354,2
turnover,-0.013585136721549493,0.05368555797185555,-0.06727069469340505,0.8654477086332724,1
asset_growth,-0.1256845426411755,-0.06252792716200253,-0.06315661547917298,0.8745880459441242,5
vol_12m,-0.020509519324631,0.03488374521235801,-0.055393264536989006,0.7992977089531944,0
mom_12_1,-0.013653242949506138,0.039518232323954,-0.05317147527346014,0.887969241444383,1
net_margin,0.046731518801632586,0.008452579136348124,0.038278939665284464,-0.916536884482011,2
roic,5.94176612890387e-4,0.03434662072807944,-0.03375244411518905,0.9468899754750889,2
int_coverage,0.0657823296291629,0.03221061573121655,0.03357171389794635,-0.7640208661418908,5
divy,0.007570799167226282,-0.025204115926518264,0.03277491509374455,-0.7895516801757849,1
op_margin,0.054296826747190344,0.021761943452053283,0.03253488329513706,-0.8539332545214551,1
mom_6_1,0.02965102492122409,0.054089296540827655,-0.024438271619603564,0.8400901688095451,4
gross_margin,0.041483635280103806,0.0189268903212198,0.022556744958884007,-0.28856679626749876,4
ebitda_ev,0.050290937302880555,0.0293783915956357,0.020912545707244854,-0.6510227200669464,4
rev_growth,-0.05305433417152679,-0.03581542009229763,-0.01723891407922916,0.6124521942953842,4
leverage,0.00703500113820206,-0.008433214900032782,0.015468216038234842,-0.6225581950458733,1
ep,7.162364911283384e-4,0.014121026409475828,-0.01340478991834749,0.11123306165074058,2
eps_growth,-0.01993021655461493,-0.006578967984734582,-0.013351248569880349,0.4648855875962296,1
log_mktcap,0.008393671610096924,-0.0026202170812544383,0.011013888691351363,0.030601291722616546,1
fcfp,0.029978103648987526,0.04078822995333408,-0.010810126304346555,0.024857363093001284,5
mom_1m,0.04255706012339502,0.033627631756887606,0.008929428366507411,-0.6539320871421799,4
roe,0.009889972145101952,0.01582883173735055,-0.005938859592248599,-0.152094630253184,2
fcf_growth,0.011673837588293094,0.01705401308713805,-0.005380175498844956,0.03892674275453092,4
roa,0.02685707629618513,0.024871866841066303,0.0019852094551188262,-0.33765679207939275,4
