model,mean_ic,sd_ic,ic_tstat,hit_rate,n_periods
elastic_net,0.0777028015532439,0.16012615013331355,6.289687324489685,0.782051282051282,168
random_forest,0.0604105684199474,0.15752795487244386,4.970612735880712,0.6309523809523809,168
xgboost,0.059437890404471366,0.14223835297069354,5.416282561302291,0.6428571428571429,168
