strategy,n_mo,ann_ret,mkt_ret,vol,sharpe,mkt_sharpe,beta,capm_a,capm_t,ff6_a,ff6_t,max_dd
"Baseline (100, all)",180,0.09079577903468561,0.13838576704289696,0.2162133235349812,0.4610483881212131,0.8624047885182824,1.232180184683117,-0.06098327724198045,-2.0670290877658584,-0.02872446501974681,-1.9597584707825821,-0.4781964443604553
A. Vol-targeted 12%,180,0.06346184036381053,0.13838576704289696,0.17646709988687798,0.3754184700605795,0.8624047885182824,0.9820502042228318,-0.06180379097373659,-2.4098403166893094,-0.04017088340941824,-2.19339895745732,-0.4462433379311619
A. Vol-targeted 15%,180,0.06869593699248888,0.13838576704289696,0.21373236892232306,0.3690682973006997,0.8624047885182824,1.2030876050758135,-0.07799276164164552,-2.5858740778403253,-0.050580325827366365,-2.504214249262518,-0.5309134428666743
B. Low-beta screen,180,0.09298837169462804,0.13838576704289696,0.19595814761590402,0.49726571634294175,0.8624047885182824,1.1264619411061394,-0.04943985872650809,-1.8943732240635416,-0.024752301279633033,-1.9341011729061266,-0.42657221345566265
B. P80-100 (large cap),180,0.12390071967792116,0.13838576704289696,0.15674526200725328,0.7549185157680572,0.8624047885182824,0.9617121424579159,-0.007070951414038178,-0.44612952197821676,-0.002841912315819893,-0.2926827387445405,-0.2886648831713654
C. Combined,180,0.1179772853847294,0.13838576704289696,0.16228500178741978,0.7025455210388364,0.8624047885182824,0.9854954057722513,-0.01448942980579834,-0.8332602575770128,-0.007116076639426452,-0.6682028919077992,-0.3213375101034329
C. Combined + vol target,180,0.09414313096995008,0.13838576704289696,0.13779140785520483,0.64275860461763,0.8624047885182824,0.8025946057723443,-0.01608637292069839,-0.9131039065466717,-0.013698841686100943,-0.890079513211185,-0.29062109112228063
"C. Combined, 200 names",53,0.08776167966275406,0.07662536464175274,0.16586082476597067,0.5137831306809387,0.4418519484269328,0.8801446012428619,0.018318861510361387,0.5471108144027257,-0.028674137860006645,-1.3102782485720996,-0.16531628702431989
