factor,t_stat,w
accruals,1.7172214756307709,0.06276100057016387
asset_growth,3.9047283160240167,0.14270998793460873
bp,0.9547117225506364,0.03489279851996567
cash_ratio,1.1323829205617182,0.04138632443838529
current_ratio,0.8043441536621151,0.02939716548097158
ebitda_ev,1.5122982154668516,0.05527146644163022
ep,1.245266650881592,0.045511998361934064
fcf_growth,2.0420248940454346,0.07463191402984214
fcfp,3.502933178699945,0.1280251815770465
gross_margin,2.1665441399542438,0.07918284270991152
int_coverage,1.6943118558673567,0.06192369991941017
rev_growth,2.151555532737159,0.07863503917993768
roa,1.5349041157490084,0.05609766675453766
roe,1.2334210235783494,0.045079064443692876
sp,1.7646344487544703,0.06449384963796197
