model,mean_ic,ic_tstat,hit_rate,n
xgb_by_vol,0.07146254568055112,8.030035809671931,0.75,168
enet_base,0.06920647271723049,6.079844101615509,0.7202380952380952,168
enet_inter,0.06755969103379593,6.129971301952153,0.7202380952380952,168
xgb_base,0.059808701954931244,5.906808818850217,0.6726190476190477,168
